Max_40.0% renyi_2   AUC 0.6497, Accuracy 0.6250, TPR@5.0% FPR of 0.0600
Max_40.0% renyi_inf   AUC 0.6436, Accuracy 0.6200, TPR@5.0% FPR of 0.0800
Max_50.0% renyi_05   AUC 0.6347, Accuracy 0.6267, TPR@5.0% FPR of 0.0633
Max_50.0% renyi_1   AUC 0.6652, Accuracy 0.6517, TPR@5.0% FPR of 0.0833
Max_50.0% renyi_2   AUC 0.6666, Accuracy 0.6450, TPR@5.0% FPR of 0.0733
Max_50.0% renyi_inf   AUC 0.6573, Accuracy 0.6333, TPR@5.0% FPR of 0.0767
Max_60.0% renyi_05   AUC 0.6578, Accuracy 0.6450, TPR@5.0% FPR of 0.0667
Max_60.0% renyi_1   AUC 0.6817, Accuracy 0.6617, TPR@5.0% FPR of 0.0800
Max_60.0% renyi_2   AUC 0.6774, Accuracy 0.6533, TPR@5.0% FPR of 0.0867
Max_60.0% renyi_inf   AUC 0.6670, Accuracy 0.6383, TPR@5.0% FPR of 0.0867
Max_70.0% renyi_05   AUC 0.6756, Accuracy 0.6517, TPR@5.0% FPR of 0.0767
Max_70.0% renyi_1   AUC 0.6937, Accuracy 0.6717, TPR@5.0% FPR of 0.0767
Max_70.0% renyi_2   AUC 0.6842, Accuracy 0.6550, TPR@5.0% FPR of 0.0867
Max_70.0% renyi_inf   AUC 0.6724, Accuracy 0.6433, TPR@5.0% FPR of 0.0800
Max_80.0% renyi_05   AUC 0.6895, Accuracy 0.6667, TPR@5.0% FPR of 0.0900
Max_80.0% renyi_1   AUC 0.7021, Accuracy 0.6767, TPR@5.0% FPR of 0.0833
Max_80.0% renyi_2   AUC 0.6887, Accuracy 0.6617, TPR@5.0% FPR of 0.0833
Max_80.0% renyi_inf   AUC 0.6755, Accuracy 0.6467, TPR@5.0% FPR of 0.0867
Max_90.0% renyi_05   AUC 0.7016, Accuracy 0.6767, TPR@5.0% FPR of 0.0867
Max_90.0% renyi_1   AUC 0.7082, Accuracy 0.6767, TPR@5.0% FPR of 0.1000
Max_90.0% renyi_2   AUC 0.6903, Accuracy 0.6633, TPR@5.0% FPR of 0.0833
Max_90.0% renyi_inf   AUC 0.6778, Accuracy 0.6450, TPR@5.0% FPR of 0.0800
Max_100% renyi_05   AUC 0.7181, Accuracy 0.6900, TPR@5.0% FPR of 0.1300
Max_100% renyi_1   AUC 0.7119, Accuracy 0.6800, TPR@5.0% FPR of 0.1100
Max_100% renyi_2   AUC 0.6912, Accuracy 0.6600, TPR@5.0% FPR of 0.0933
Max_100% renyi_inf   AUC 0.6782, Accuracy 0.6450, TPR@5.0% FPR of 0.0833
Min_0% renyi_05   AUC 0.6437, Accuracy 0.6050, TPR@5.0% FPR of 0.1700
Min_0% renyi_1   AUC 0.6757, Accuracy 0.6367, TPR@5.0% FPR of 0.0833
Min_0% renyi_2   AUC 0.6760, Accuracy 0.6417, TPR@5.0% FPR of 0.0833
Min_0% renyi_inf   AUC 0.6760, Accuracy 0.6417, TPR@5.0% FPR of 0.0800
Min_5.0% renyi_05   AUC 0.6869, Accuracy 0.6583, TPR@5.0% FPR of 0.1800
Min_5.0% renyi_1   AUC 0.6097, Accuracy 0.6033, TPR@5.0% FPR of 0.0733
Min_5.0% renyi_2   AUC 0.6002, Accuracy 0.5967, TPR@5.0% FPR of 0.0600
Min_5.0% renyi_inf   AUC 0.6000, Accuracy 0.5983, TPR@5.0% FPR of 0.0633
Min_10.0% renyi_05   AUC 0.6959, Accuracy 0.6567, TPR@5.0% FPR of 0.1333
Min_10.0% renyi_1   AUC 0.6298, Accuracy 0.6217, TPR@5.0% FPR of 0.0633
Min_10.0% renyi_2   AUC 0.6122, Accuracy 0.6100, TPR@5.0% FPR of 0.0500
Min_10.0% renyi_inf   AUC 0.6099, Accuracy 0.6033, TPR@5.0% FPR of 0.0433
Min_20.0% renyi_05   AUC 0.7171, Accuracy 0.6717, TPR@5.0% FPR of 0.1000
Min_20.0% renyi_1   AUC 0.6626, Accuracy 0.6400, TPR@5.0% FPR of 0.0733
Min_20.0% renyi_2   AUC 0.6280, Accuracy 0.6050, TPR@5.0% FPR of 0.0733
Min_20.0% renyi_inf   AUC 0.6241, Accuracy 0.6000, TPR@5.0% FPR of 0.0867
Min_30.0% renyi_05   AUC 0.7299, Accuracy 0.6850, TPR@5.0% FPR of 0.1833
Min_30.0% renyi_1   AUC 0.6832, Accuracy 0.6583, TPR@5.0% FPR of 0.0767
Min_30.0% renyi_2   AUC 0.6417, Accuracy 0.6133, TPR@5.0% FPR of 0.0633
Min_30.0% renyi_inf   AUC 0.6351, Accuracy 0.6033, TPR@5.0% FPR of 0.0800
Min_40.0% renyi_05   AUC 0.7374, Accuracy 0.6933, TPR@5.0% FPR of 0.1467
Min_40.0% renyi_1   AUC 0.7025, Accuracy 0.6583, TPR@5.0% FPR of 0.0833
Min_40.0% renyi_2   AUC 0.6596, Accuracy 0.6317, TPR@5.0% FPR of 0.0633
Min_40.0% renyi_inf   AUC 0.6507, Accuracy 0.6300, TPR@5.0% FPR of 0.0533
Min_50.0% renyi_05   AUC 0.7424, Accuracy 0.6950, TPR@5.0% FPR of 0.1533
Min_50.0% renyi_1   AUC 0.7178, Accuracy 0.6700, TPR@5.0% FPR of 0.0700
Min_50.0% renyi_2   AUC 0.6766, Accuracy 0.6417, TPR@5.0% FPR of 0.0667
