aug_kl   AUC 0.5587, Accuracy 0.5633, TPR@0.1% FPR of 0.0000
ppl   AUC 0.3780, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_5.0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_10.0% Prob   AUC 0.3576, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_20.0% Prob   AUC 0.3743, Accuracy 0.5067, TPR@0.1% FPR of 0.0000
Min_30.0% Prob   AUC 0.3896, Accuracy 0.5033, TPR@0.1% FPR of 0.0000
Min_40.0% Prob   AUC 0.3937, Accuracy 0.5033, TPR@0.1% FPR of 0.0000
Min_50.0% Prob   AUC 0.3762, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_60.0% Prob   AUC 0.3650, Accuracy 0.5050, TPR@0.1% FPR of 0.0000
Min_70.0% Prob   AUC 0.3704, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_80.0% Prob   AUC 0.3797, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Min_90.0% Prob   AUC 0.3780, Accuracy 0.5017, TPR@0.1% FPR of 0.0000
Modified_entropy   AUC 0.3587, Accuracy 0.5000, TPR@0.1% FPR of 0.0000
Modified_renyi_05   AUC 0.3673, Accuracy 0.5000, TPR@0.1% FPR of 0.0000
Modified_renyi_2   AUC 0.3695, Accuracy 0.5000, TPR@0.1% FPR of 0.0000
Max_Prob_Gap   AUC 0.5966, Accuracy 0.5800, TPR@0.1% FPR of 0.0067
Max_0% renyi_05   AUC 0.6896, Accuracy 0.6617, TPR@0.1% FPR of 0.0267
Max_0% renyi_1   AUC 0.7076, Accuracy 0.6833, TPR@0.1% FPR of 0.0100
Max_0% renyi_2   AUC 0.6815, Accuracy 0.6533, TPR@0.1% FPR of 0.0200
Max_0% renyi_inf   AUC 0.6477, Accuracy 0.6433, TPR@0.1% FPR of 0.0067
Max_5.0% renyi_05   AUC 0.6896, Accuracy 0.6617, TPR@0.1% FPR of 0.0267
Max_5.0% renyi_1   AUC 0.7076, Accuracy 0.6833, TPR@0.1% FPR of 0.0100
Max_5.0% renyi_2   AUC 0.6815, Accuracy 0.6533, TPR@0.1% FPR of 0.0200
Max_5.0% renyi_inf   AUC 0.6477, Accuracy 0.6433, TPR@0.1% FPR of 0.0067
Max_10.0% renyi_05   AUC 0.6896, Accuracy 0.6617, TPR@0.1% FPR of 0.0267
Max_10.0% renyi_1   AUC 0.7076, Accuracy 0.6833, TPR@0.1% FPR of 0.0100
Max_10.0% renyi_2   AUC 0.6815, Accuracy 0.6533, TPR@0.1% FPR of 0.0200
Max_10.0% renyi_inf   AUC 0.6477, Accuracy 0.6433, TPR@0.1% FPR of 0.0067
Max_20.0% renyi_05   AUC 0.6904, Accuracy 0.6617, TPR@0.1% FPR of 0.0400
Max_20.0% renyi_1   AUC 0.7088, Accuracy 0.6850, TPR@0.1% FPR of 0.0067
Max_20.0% renyi_2   AUC 0.6891, Accuracy 0.6633, TPR@0.1% FPR of 0.0033
Max_20.0% renyi_inf   AUC 0.6582, Accuracy 0.6400, TPR@0.1% FPR of 0.0200
Max_30.0% renyi_05   AUC 0.7084, Accuracy 0.6650, TPR@0.1% FPR of 0.0233
Max_30.0% renyi_1   AUC 0.7085, Accuracy 0.6750, TPR@0.1% FPR of 0.0067
Max_30.0% renyi_2   AUC 0.6868, Accuracy 0.6583, TPR@0.1% FPR of 0.0067
Max_30.0% renyi_inf   AUC 0.6637, Accuracy 0.6450, TPR@0.1% FPR of 0.0067
Max_40.0% renyi_05   AUC 0.7119, Accuracy 0.6733, TPR@0.1% FPR of 0.0267
Max_40.0% renyi_1   AUC 0.7084, Accuracy 0.6767, TPR@0.1% FPR of 0.0067
Max_40.0% renyi_2   AUC 0.6851, Accuracy 0.6500, TPR@0.1% FPR of 0.0133
Max_40.0% renyi_inf   AUC 0.6632, Accuracy 0.6383, TPR@0.1% FPR of 0.0067
Max_50.0% renyi_05   AUC 0.7195, Accuracy 0.6783, TPR@0.1% FPR of 0.0200
Max_50.0% renyi_1   AUC 0.7181, Accuracy 0.6883, TPR@0.1% FPR of 0.0033
Max_50.0% renyi_2   AUC 0.6835, Accuracy 0.6483, TPR@0.1% FPR of 0.0100
Max_50.0% renyi_inf   AUC 0.6582, Accuracy 0.6333, TPR@0.1% FPR of 0.0133
Max_60.0% renyi_05   AUC 0.7224, Accuracy 0.6850, TPR@0.1% FPR of 0.0200
Max_60.0% renyi_1   AUC 0.7165, Accuracy 0.6900, TPR@0.1% FPR of 0.0067
Max_60.0% renyi_2   AUC 0.6884, Accuracy 0.6567, TPR@0.1% FPR of 0.0100
Max_60.0% renyi_inf   AUC 0.6658, Accuracy 0.6383, TPR@0.1% FPR of 0.0100
Max_70.0% renyi_05   AUC 0.7224, Accuracy 0.6833, TPR@0.1% FPR of 0.0067
Max_70.0% renyi_1   AUC 0.7162, Accuracy 0.6900, TPR@0.1% FPR of 0.0067
Max_70.0% renyi_2   AUC 0.6923, Accuracy 0.6683, TPR@0.1% FPR of 0.0100
Max_70.0% renyi_inf   AUC 0.6703, Accuracy 0.6450, TPR@0.1% FPR of 0.0100
Max_80.0% renyi_05   AUC 0.7296, Accuracy 0.6833, TPR@0.1% FPR of 0.0067
Max_80.0% renyi_1   AUC 0.7195, Accuracy 0.6950, TPR@0.1% FPR of 0.0100
Max_80.0% renyi_2   AUC 0.6935, Accuracy 0.6667, TPR@0.1% FPR of 0.0133
Max_80.0% renyi_inf   AUC 0.6734, Accuracy 0.6533, TPR@0.1% FPR of 0.0100
Max_90.0% renyi_05   AUC 0.7195, Accuracy 0.6767, TPR@0.1% FPR of 0.0133
Max_90.0% renyi_1   AUC 0.7197, Accuracy 0.6950, TPR@0.1% FPR of 0.0100
Max_90.0% renyi_2   AUC 0.6936, Accuracy 0.6667, TPR@0.1% FPR of 0.0133
Max_90.0% renyi_inf   AUC 0.6734, Accuracy 0.6533, TPR@0.1% FPR of 0.0100
Max_100% renyi_05   AUC 0.7264, Accuracy 0.6833, TPR@0.1% FPR of 0.0133
Max_100% renyi_1   AUC 0.7196, Accuracy 0.6950, TPR@0.1% FPR of 0.0100
Max_100% renyi_2   AUC 0.6936, Accuracy 0.6667, TPR@0.1% FPR of 0.0133
Max_100% renyi_inf   AUC 0.6733, Accuracy 0.6533, TPR@0.1% FPR of 0.0100
Min_0% renyi_05   AUC 0.6893, Accuracy 0.6433, TPR@0.1% FPR of 0.0200
Min_0% renyi_1   AUC 0.7148, Accuracy 0.6733, TPR@0.1% FPR of 0.0033
Min_0% renyi_2   AUC 0.7163, Accuracy 0.6767, TPR@0.1% FPR of 0.0033
Min_0% renyi_inf   AUC 0.7163, Accuracy 0.6767, TPR@0.1% FPR of 0.0033
Min_5.0% renyi_05   AUC 0.6893, Accuracy 0.6433, TPR@0.1% FPR of 0.0200
Min_5.0% renyi_1   AUC 0.7148, Accuracy 0.6733, TPR@0.1% FPR of 0.0033
Min_5.0% renyi_2   AUC 0.7163, Accuracy 0.6767, TPR@0.1% FPR of 0.0033
Min_5.0% renyi_inf   AUC 0.7163, Accuracy 0.6767, TPR@0.1% FPR of 0.0033
Min_10.0% renyi_05   AUC 0.6893, Accuracy 0.6433, TPR@0.1% FPR of 0.0200
Min_10.0% renyi_1   AUC 0.7148, Accuracy 0.6733, TPR@0.1% FPR of 0.0033
Min_10.0% renyi_2   AUC 0.7163, Accuracy 0.6767, TPR@0.1% FPR of 0.0033
Min_10.0% renyi_inf   AUC 0.7163, Accuracy 0.6767, TPR@0.1% FPR of 0.0033
Min_20.0% renyi_05   AUC 0.7459, Accuracy 0.7083, TPR@0.1% FPR of 0.0033
Min_20.0% renyi_1   AUC 0.4227, Accuracy 0.5233, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_2   AUC 0.4158, Accuracy 0.5183, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_inf   AUC 0.4158, Accuracy 0.5183, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_05   AUC 0.6274, Accuracy 0.6000, TPR@0.1% FPR of 0.0600
Min_30.0% renyi_1   AUC 0.6287, Accuracy 0.6033, TPR@0.1% FPR of 0.0033
Min_30.0% renyi_2   AUC 0.6197, Accuracy 0.6000, TPR@0.1% FPR of 0.0067
Min_30.0% renyi_inf   AUC 0.6197, Accuracy 0.6000, TPR@0.1% FPR of 0.0067
Min_40.0% renyi_05   AUC 0.6734, Accuracy 0.6200, TPR@0.1% FPR of 0.0133
