aug_kl   AUC 0.5587, Accuracy 0.5633, TPR@0.1% FPR of 0.0000
Min_40.0% renyi_1   AUC 0.6676, Accuracy 0.6217, TPR@0.1% FPR of 0.0167
Min_40.0% renyi_2   AUC 0.6264, Accuracy 0.6250, TPR@0.1% FPR of 0.0167
Min_40.0% renyi_inf   AUC 0.6258, Accuracy 0.6267, TPR@0.1% FPR of 0.0167
Min_50.0% renyi_05   AUC 0.6870, Accuracy 0.6533, TPR@0.1% FPR of 0.0033
Min_50.0% renyi_1   AUC 0.6640, Accuracy 0.6350, TPR@0.1% FPR of 0.0100
Min_50.0% renyi_2   AUC 0.6889, Accuracy 0.6550, TPR@0.1% FPR of 0.0133
Min_50.0% renyi_inf   AUC 0.6863, Accuracy 0.6533, TPR@0.1% FPR of 0.0100
Min_60.0% renyi_05   AUC 0.6902, Accuracy 0.6550, TPR@0.1% FPR of 0.0100
Min_60.0% renyi_1   AUC 0.6914, Accuracy 0.6467, TPR@0.1% FPR of 0.0100
Min_60.0% renyi_2   AUC 0.6745, Accuracy 0.6483, TPR@0.1% FPR of 0.0167
Min_60.0% renyi_inf   AUC 0.6699, Accuracy 0.6450, TPR@0.1% FPR of 0.0300
Min_70.0% renyi_05   AUC 0.6967, Accuracy 0.6600, TPR@0.1% FPR of 0.0267
Min_70.0% renyi_1   AUC 0.6921, Accuracy 0.6433, TPR@0.1% FPR of 0.0100
Min_70.0% renyi_2   AUC 0.6545, Accuracy 0.6300, TPR@0.1% FPR of 0.0300
Min_70.0% renyi_inf   AUC 0.6272, Accuracy 0.6033, TPR@0.1% FPR of 0.0267
Min_80.0% renyi_05   AUC 0.7090, Accuracy 0.6633, TPR@0.1% FPR of 0.0033
Min_80.0% renyi_1   AUC 0.6901, Accuracy 0.6533, TPR@0.1% FPR of 0.0167
Min_80.0% renyi_2   AUC 0.6624, Accuracy 0.6433, TPR@0.1% FPR of 0.0133
Min_80.0% renyi_inf   AUC 0.6429, Accuracy 0.6267, TPR@0.1% FPR of 0.0100
Min_90.0% renyi_05   AUC 0.7091, Accuracy 0.6650, TPR@0.1% FPR of 0.0033
Min_90.0% renyi_1   AUC 0.6894, Accuracy 0.6717, TPR@0.1% FPR of 0.0100
Min_90.0% renyi_2   AUC 0.6630, Accuracy 0.6433, TPR@0.1% FPR of 0.0100
Min_90.0% renyi_inf   AUC 0.6504, Accuracy 0.6283, TPR@0.1% FPR of 0.0133
Min_100% renyi_05   AUC 0.7264, Accuracy 0.6833, TPR@0.1% FPR of 0.0133
Min_100% renyi_1   AUC 0.7196, Accuracy 0.6950, TPR@0.1% FPR of 0.0100
Min_100% renyi_2   AUC 0.6936, Accuracy 0.6667, TPR@0.1% FPR of 0.0133
Min_100% renyi_inf   AUC 0.6733, Accuracy 0.6533, TPR@0.1% FPR of 0.0100
