Max_100% renyi_2   AUC 0.6997, Accuracy 0.6583, TPR@0.1% FPR of 0.0033
Max_100% renyi_inf   AUC 0.6841, Accuracy 0.6517, TPR@0.1% FPR of 0.0000
Min_0% renyi_05   AUC 0.6437, Accuracy 0.6050, TPR@0.1% FPR of 0.0167
Min_0% renyi_1   AUC 0.6757, Accuracy 0.6367, TPR@0.1% FPR of 0.0033
Min_0% renyi_2   AUC 0.6760, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Min_0% renyi_inf   AUC 0.6760, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_05   AUC 0.6482, Accuracy 0.6233, TPR@0.1% FPR of 0.0300
Min_5.0% renyi_1   AUC 0.6776, Accuracy 0.6533, TPR@0.1% FPR of 0.0200
Min_5.0% renyi_2   AUC 0.6774, Accuracy 0.6483, TPR@0.1% FPR of 0.0133
Min_5.0% renyi_inf   AUC 0.6773, Accuracy 0.6483, TPR@0.1% FPR of 0.0133
Min_10.0% renyi_05   AUC 0.6412, Accuracy 0.6133, TPR@0.1% FPR of 0.0067
Min_10.0% renyi_1   AUC 0.6297, Accuracy 0.6150, TPR@0.1% FPR of 0.0033
Min_10.0% renyi_2   AUC 0.6282, Accuracy 0.6233, TPR@0.1% FPR of 0.0033
Min_10.0% renyi_inf   AUC 0.6282, Accuracy 0.6233, TPR@0.1% FPR of 0.0033
Min_20.0% renyi_05   AUC 0.6618, Accuracy 0.6317, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_1   AUC 0.6222, Accuracy 0.5950, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_2   AUC 0.6231, Accuracy 0.5950, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_inf   AUC 0.6229, Accuracy 0.5950, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_05   AUC 0.6704, Accuracy 0.6433, TPR@0.1% FPR of 0.0200
Min_30.0% renyi_1   AUC 0.6264, Accuracy 0.6000, TPR@0.1% FPR of 0.0167
Min_30.0% renyi_2   AUC 0.6256, Accuracy 0.6050, TPR@0.1% FPR of 0.0200
Min_30.0% renyi_inf   AUC 0.6257, Accuracy 0.6033, TPR@0.1% FPR of 0.0200
Min_40.0% renyi_05   AUC 0.6841, Accuracy 0.6600, TPR@0.1% FPR of 0.0400
Min_40.0% renyi_1   AUC 0.6439, Accuracy 0.6083, TPR@0.1% FPR of 0.0267
Min_40.0% renyi_2   AUC 0.6333, Accuracy 0.6033, TPR@0.1% FPR of 0.0167
Min_40.0% renyi_inf   AUC 0.6315, Accuracy 0.5983, TPR@0.1% FPR of 0.0133
Min_50.0% renyi_05   AUC 0.6982, Accuracy 0.6767, TPR@0.1% FPR of 0.0533
Min_50.0% renyi_1   AUC 0.6642, Accuracy 0.6250, TPR@0.1% FPR of 0.0167
Min_50.0% renyi_2   AUC 0.6540, Accuracy 0.6250, TPR@0.1% FPR of 0.0067
Min_50.0% renyi_inf   AUC 0.6537, Accuracy 0.6217, TPR@0.1% FPR of 0.0067
Min_60.0% renyi_05   AUC 0.7071, Accuracy 0.6767, TPR@0.1% FPR of 0.0567
Min_60.0% renyi_1   AUC 0.6795, Accuracy 0.6467, TPR@0.1% FPR of 0.0367
Min_60.0% renyi_2   AUC 0.6634, Accuracy 0.6333, TPR@0.1% FPR of 0.0300
Min_60.0% renyi_inf   AUC 0.6588, Accuracy 0.6300, TPR@0.1% FPR of 0.0300
Min_70.0% renyi_05   AUC 0.7139, Accuracy 0.6767, TPR@0.1% FPR of 0.0467
Min_70.0% renyi_1   AUC 0.6931, Accuracy 0.6500, TPR@0.1% FPR of 0.0367
Min_70.0% renyi_2   AUC 0.6655, Accuracy 0.6450, TPR@0.1% FPR of 0.0200
Min_70.0% renyi_inf   AUC 0.6546, Accuracy 0.6233, TPR@0.1% FPR of 0.0133
Min_80.0% renyi_05   AUC 0.7164, Accuracy 0.6700, TPR@0.1% FPR of 0.0367
Min_80.0% renyi_1   AUC 0.6973, Accuracy 0.6550, TPR@0.1% FPR of 0.0267
Min_80.0% renyi_2   AUC 0.6706, Accuracy 0.6417, TPR@0.1% FPR of 0.0100
Min_80.0% renyi_inf   AUC 0.6560, Accuracy 0.6217, TPR@0.1% FPR of 0.0000
Min_90.0% renyi_05   AUC 0.7192, Accuracy 0.6700, TPR@0.1% FPR of 0.0267
Min_90.0% renyi_1   AUC 0.7035, Accuracy 0.6583, TPR@0.1% FPR of 0.0167
Min_90.0% renyi_2   AUC 0.6794, Accuracy 0.6367, TPR@0.1% FPR of 0.0100
Min_90.0% renyi_inf   AUC 0.6635, Accuracy 0.6300, TPR@0.1% FPR of 0.0000
Min_100% renyi_05   AUC 0.7265, Accuracy 0.6750, TPR@0.1% FPR of 0.0200
Min_100% renyi_1   AUC 0.7193, Accuracy 0.6767, TPR@0.1% FPR of 0.0267
Min_100% renyi_2   AUC 0.6997, Accuracy 0.6583, TPR@0.1% FPR of 0.0033
Min_100% renyi_inf   AUC 0.6841, Accuracy 0.6517, TPR@0.1% FPR of 0.0000
