aug_kl   AUC 0.5068, Accuracy 0.5433, TPR@1.0% FPR of 0.0033
ppl   AUC 0.6630, Accuracy 0.6283, TPR@1.0% FPR of 0.0500
Min_0% Kl_Div   AUC 0.4117, Accuracy 0.5033, TPR@1.0% FPR of 0.0033
Min_5.0% Kl_Div   AUC 0.4117, Accuracy 0.5033, TPR@1.0% FPR of 0.0033
Min_10.0% Kl_Div   AUC 0.4172, Accuracy 0.5067, TPR@1.0% FPR of 0.0167
Min_20.0% Kl_Div   AUC 0.4200, Accuracy 0.5083, TPR@1.0% FPR of 0.0133
Min_30.0% Kl_Div   AUC 0.4372, Accuracy 0.5167, TPR@1.0% FPR of 0.0133
Min_40.0% Kl_Div   AUC 0.4441, Accuracy 0.5117, TPR@1.0% FPR of 0.0067
Min_50.0% Kl_Div   AUC 0.4624, Accuracy 0.5100, TPR@1.0% FPR of 0.0067
Min_60.0% Kl_Div   AUC 0.4675, Accuracy 0.5150, TPR@1.0% FPR of 0.0033
Min_70.0% Kl_Div   AUC 0.4693, Accuracy 0.5283, TPR@1.0% FPR of 0.0000
Min_80.0% Kl_Div   AUC 0.4697, Accuracy 0.5183, TPR@1.0% FPR of 0.0000
Min_90.0% Kl_Div   AUC 0.4688, Accuracy 0.5167, TPR@1.0% FPR of 0.0000
Min_0% Prob   AUC 0.6459, Accuracy 0.6117, TPR@1.0% FPR of 0.0133
Min_5.0% Prob   AUC 0.6459, Accuracy 0.6117, TPR@1.0% FPR of 0.0133
Min_10.0% Prob   AUC 0.6688, Accuracy 0.6467, TPR@1.0% FPR of 0.0233
Min_20.0% Prob   AUC 0.6710, Accuracy 0.6450, TPR@1.0% FPR of 0.0167
Min_30.0% Prob   AUC 0.6616, Accuracy 0.6433, TPR@1.0% FPR of 0.0300
Min_40.0% Prob   AUC 0.6567, Accuracy 0.6267, TPR@1.0% FPR of 0.0300
Min_50.0% Prob   AUC 0.6565, Accuracy 0.6217, TPR@1.0% FPR of 0.0400
Min_60.0% Prob   AUC 0.6596, Accuracy 0.6217, TPR@1.0% FPR of 0.0600
Min_70.0% Prob   AUC 0.6603, Accuracy 0.6267, TPR@1.0% FPR of 0.0567
Min_80.0% Prob   AUC 0.6625, Accuracy 0.6217, TPR@1.0% FPR of 0.0500
Min_90.0% Prob   AUC 0.6636, Accuracy 0.6267, TPR@1.0% FPR of 0.0500
Modified_entropy   AUC 0.6554, Accuracy 0.6183, TPR@1.0% FPR of 0.0433
Modified_renyi_05   AUC 0.6471, Accuracy 0.6117, TPR@1.0% FPR of 0.0467
Modified_renyi_2   AUC 0.6410, Accuracy 0.6100, TPR@1.0% FPR of 0.0433
Max_Prob_Gap   AUC 0.6429, Accuracy 0.6217, TPR@1.0% FPR of 0.0667
Max_0% renyi_05   AUC 0.6882, Accuracy 0.6550, TPR@1.0% FPR of 0.0100
Max_0% renyi_1   AUC 0.6848, Accuracy 0.6417, TPR@1.0% FPR of 0.0067
Max_0% renyi_2   AUC 0.6690, Accuracy 0.6467, TPR@1.0% FPR of 0.0100
Max_0% renyi_inf   AUC 0.6459, Accuracy 0.6117, TPR@1.0% FPR of 0.0133
Max_5.0% renyi_05   AUC 0.6882, Accuracy 0.6550, TPR@1.0% FPR of 0.0100
Max_5.0% renyi_1   AUC 0.6848, Accuracy 0.6417, TPR@1.0% FPR of 0.0067
Max_5.0% renyi_2   AUC 0.6690, Accuracy 0.6467, TPR@1.0% FPR of 0.0100
Max_5.0% renyi_inf   AUC 0.6459, Accuracy 0.6117, TPR@1.0% FPR of 0.0133
