aug_kl   AUC 0.5068, Accuracy 0.5433, TPR@1.0% FPR of 0.0033
Max_10.0% renyi_05   AUC 0.6923, Accuracy 0.6583, TPR@1.0% FPR of 0.0133
Max_10.0% renyi_1   AUC 0.6991, Accuracy 0.6600, TPR@1.0% FPR of 0.0067
Max_10.0% renyi_2   AUC 0.6853, Accuracy 0.6550, TPR@1.0% FPR of 0.0100
Max_10.0% renyi_inf   AUC 0.6688, Accuracy 0.6467, TPR@1.0% FPR of 0.0233
Max_20.0% renyi_05   AUC 0.6985, Accuracy 0.6717, TPR@1.0% FPR of 0.0167
Max_20.0% renyi_1   AUC 0.7005, Accuracy 0.6750, TPR@1.0% FPR of 0.0067
Max_20.0% renyi_2   AUC 0.6874, Accuracy 0.6600, TPR@1.0% FPR of 0.0167
Max_20.0% renyi_inf   AUC 0.6710, Accuracy 0.6450, TPR@1.0% FPR of 0.0167
Max_30.0% renyi_05   AUC 0.7056, Accuracy 0.6700, TPR@1.0% FPR of 0.0267
Max_30.0% renyi_1   AUC 0.7027, Accuracy 0.6733, TPR@1.0% FPR of 0.0200
Max_30.0% renyi_2   AUC 0.6846, Accuracy 0.6500, TPR@1.0% FPR of 0.0233
Max_30.0% renyi_inf   AUC 0.6616, Accuracy 0.6433, TPR@1.0% FPR of 0.0300
Max_40.0% renyi_05   AUC 0.7115, Accuracy 0.6683, TPR@1.0% FPR of 0.0300
Max_40.0% renyi_1   AUC 0.7027, Accuracy 0.6650, TPR@1.0% FPR of 0.0300
Max_40.0% renyi_2   AUC 0.6806, Accuracy 0.6400, TPR@1.0% FPR of 0.0367
Max_40.0% renyi_inf   AUC 0.6567, Accuracy 0.6267, TPR@1.0% FPR of 0.0300
Max_50.0% renyi_05   AUC 0.7127, Accuracy 0.6650, TPR@1.0% FPR of 0.0367
Max_50.0% renyi_1   AUC 0.7054, Accuracy 0.6583, TPR@1.0% FPR of 0.0400
Max_50.0% renyi_2   AUC 0.6797, Accuracy 0.6383, TPR@1.0% FPR of 0.0433
Max_50.0% renyi_inf   AUC 0.6565, Accuracy 0.6217, TPR@1.0% FPR of 0.0400
Max_60.0% renyi_05   AUC 0.7119, Accuracy 0.6567, TPR@1.0% FPR of 0.0433
Max_60.0% renyi_1   AUC 0.7045, Accuracy 0.6617, TPR@1.0% FPR of 0.0533
Max_60.0% renyi_2   AUC 0.6795, Accuracy 0.6350, TPR@1.0% FPR of 0.0500
Max_60.0% renyi_inf   AUC 0.6596, Accuracy 0.6217, TPR@1.0% FPR of 0.0600
Max_70.0% renyi_05   AUC 0.7126, Accuracy 0.6583, TPR@1.0% FPR of 0.0500
Max_70.0% renyi_1   AUC 0.7021, Accuracy 0.6583, TPR@1.0% FPR of 0.0533
Max_70.0% renyi_2   AUC 0.6790, Accuracy 0.6367, TPR@1.0% FPR of 0.0533
Max_70.0% renyi_inf   AUC 0.6603, Accuracy 0.6267, TPR@1.0% FPR of 0.0567
Max_80.0% renyi_05   AUC 0.7127, Accuracy 0.6617, TPR@1.0% FPR of 0.0633
Max_80.0% renyi_1   AUC 0.7014, Accuracy 0.6533, TPR@1.0% FPR of 0.0533
Max_80.0% renyi_2   AUC 0.6796, Accuracy 0.6367, TPR@1.0% FPR of 0.0467
Max_80.0% renyi_inf   AUC 0.6626, Accuracy 0.6217, TPR@1.0% FPR of 0.0500
Max_90.0% renyi_05   AUC 0.7136, Accuracy 0.6650, TPR@1.0% FPR of 0.0600
Max_90.0% renyi_1   AUC 0.7004, Accuracy 0.6583, TPR@1.0% FPR of 0.0467
Max_90.0% renyi_2   AUC 0.6795, Accuracy 0.6383, TPR@1.0% FPR of 0.0467
Max_90.0% renyi_inf   AUC 0.6636, Accuracy 0.6267, TPR@1.0% FPR of 0.0500
Max_100% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@1.0% FPR of 0.0600
Max_100% renyi_1   AUC 0.6992, Accuracy 0.6583, TPR@1.0% FPR of 0.0467
Max_100% renyi_2   AUC 0.6793, Accuracy 0.6400, TPR@1.0% FPR of 0.0467
Max_100% renyi_inf   AUC 0.6630, Accuracy 0.6283, TPR@1.0% FPR of 0.0500
Min_0% renyi_05   AUC 0.6402, Accuracy 0.6050, TPR@1.0% FPR of 0.0467
Min_0% renyi_1   AUC 0.6694, Accuracy 0.6367, TPR@1.0% FPR of 0.0133
Min_0% renyi_2   AUC 0.6704, Accuracy 0.6417, TPR@1.0% FPR of 0.0133
Min_0% renyi_inf   AUC 0.6704, Accuracy 0.6417, TPR@1.0% FPR of 0.0133
Min_5.0% renyi_05   AUC 0.6402, Accuracy 0.6050, TPR@1.0% FPR of 0.0467
Min_5.0% renyi_1   AUC 0.6694, Accuracy 0.6367, TPR@1.0% FPR of 0.0133
Min_5.0% renyi_2   AUC 0.6704, Accuracy 0.6417, TPR@1.0% FPR of 0.0133
Min_5.0% renyi_inf   AUC 0.6704, Accuracy 0.6417, TPR@1.0% FPR of 0.0133
Min_10.0% renyi_05   AUC 0.6325, Accuracy 0.6050, TPR@1.0% FPR of 0.0467
Min_10.0% renyi_1   AUC 0.6248, Accuracy 0.6133, TPR@1.0% FPR of 0.0467
Min_10.0% renyi_2   AUC 0.6236, Accuracy 0.6117, TPR@1.0% FPR of 0.0467
Min_10.0% renyi_inf   AUC 0.6236, Accuracy 0.6117, TPR@1.0% FPR of 0.0467
Min_20.0% renyi_05   AUC 0.6545, Accuracy 0.6250, TPR@1.0% FPR of 0.0333
Min_20.0% renyi_1   AUC 0.6211, Accuracy 0.5967, TPR@1.0% FPR of 0.0067
Min_20.0% renyi_2   AUC 0.6206, Accuracy 0.5933, TPR@1.0% FPR of 0.0067
Min_20.0% renyi_inf   AUC 0.6210, Accuracy 0.5933, TPR@1.0% FPR of 0.0067
Min_30.0% renyi_05   AUC 0.6657, Accuracy 0.6317, TPR@1.0% FPR of 0.0567
Min_30.0% renyi_1   AUC 0.6311, Accuracy 0.5933, TPR@1.0% FPR of 0.0767
Min_30.0% renyi_2   AUC 0.6298, Accuracy 0.5967, TPR@1.0% FPR of 0.0633
Min_30.0% renyi_inf   AUC 0.6300, Accuracy 0.5967, TPR@1.0% FPR of 0.0633
Min_40.0% renyi_05   AUC 0.6779, Accuracy 0.6500, TPR@1.0% FPR of 0.0767
Min_40.0% renyi_1   AUC 0.6430, Accuracy 0.6133, TPR@1.0% FPR of 0.0533
Min_40.0% renyi_2   AUC 0.6348, Accuracy 0.6017, TPR@1.0% FPR of 0.0400
Min_40.0% renyi_inf   AUC 0.6348, Accuracy 0.6017, TPR@1.0% FPR of 0.0433
Min_50.0% renyi_05   AUC 0.6868, Accuracy 0.6700, TPR@1.0% FPR of 0.0700
Min_50.0% renyi_1   AUC 0.6535, Accuracy 0.6150, TPR@1.0% FPR of 0.0533
Min_50.0% renyi_2   AUC 0.6457, Accuracy 0.6117, TPR@1.0% FPR of 0.0533
Min_50.0% renyi_inf   AUC 0.6458, Accuracy 0.6150, TPR@1.0% FPR of 0.0500
Min_60.0% renyi_05   AUC 0.6938, Accuracy 0.6717, TPR@1.0% FPR of 0.0533
Min_60.0% renyi_1   AUC 0.6677, Accuracy 0.6283, TPR@1.0% FPR of 0.0400
Min_60.0% renyi_2   AUC 0.6518, Accuracy 0.6233, TPR@1.0% FPR of 0.0367
Min_60.0% renyi_inf   AUC 0.6464, Accuracy 0.6250, TPR@1.0% FPR of 0.0400
Min_70.0% renyi_05   AUC 0.7019, Accuracy 0.6700, TPR@1.0% FPR of 0.0733
Min_70.0% renyi_1   AUC 0.6766, Accuracy 0.6400, TPR@1.0% FPR of 0.0433
Min_70.0% renyi_2   AUC 0.6536, Accuracy 0.6283, TPR@1.0% FPR of 0.0300
Min_70.0% renyi_inf   AUC 0.6439, Accuracy 0.6250, TPR@1.0% FPR of 0.0300
Min_80.0% renyi_05   AUC 0.7067, Accuracy 0.6667, TPR@1.0% FPR of 0.0733
Min_80.0% renyi_1   AUC 0.6833, Accuracy 0.6433, TPR@1.0% FPR of 0.0433
Min_80.0% renyi_2   AUC 0.6548, Accuracy 0.6300, TPR@1.0% FPR of 0.0300
Min_80.0% renyi_inf   AUC 0.6407, Accuracy 0.6150, TPR@1.0% FPR of 0.0167
Min_90.0% renyi_05   AUC 0.7090, Accuracy 0.6667, TPR@1.0% FPR of 0.0633
Min_90.0% renyi_1   AUC 0.6890, Accuracy 0.6467, TPR@1.0% FPR of 0.0500
Min_90.0% renyi_2   AUC 0.6626, Accuracy 0.6250, TPR@1.0% FPR of 0.0300
Min_90.0% renyi_inf   AUC 0.6449, Accuracy 0.6167, TPR@1.0% FPR of 0.0267
Min_100% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@1.0% FPR of 0.0600
Min_100% renyi_1   AUC 0.6992, Accuracy 0.6583, TPR@1.0% FPR of 0.0467
Min_100% renyi_2   AUC 0.6793, Accuracy 0.6400, TPR@1.0% FPR of 0.0467
Min_100% renyi_inf   AUC 0.6630, Accuracy 0.6283, TPR@1.0% FPR of 0.0500
