aug_kl   AUC 0.5338, Accuracy 0.5483, TPR@5.0% FPR of 0.0500
Max_70.0% renyi_inf   AUC 0.6703, Accuracy 0.6450, TPR@5.0% FPR of 0.1200
Max_80.0% renyi_05   AUC 0.7296, Accuracy 0.6833, TPR@5.0% FPR of 0.2033
Max_80.0% renyi_1   AUC 0.7195, Accuracy 0.6950, TPR@5.0% FPR of 0.1133
Max_80.0% renyi_2   AUC 0.6935, Accuracy 0.6667, TPR@5.0% FPR of 0.0900
Max_80.0% renyi_inf   AUC 0.6734, Accuracy 0.6533, TPR@5.0% FPR of 0.1133
Max_90.0% renyi_05   AUC 0.7195, Accuracy 0.6767, TPR@5.0% FPR of 0.1967
Max_90.0% renyi_1   AUC 0.7197, Accuracy 0.6950, TPR@5.0% FPR of 0.1167
Max_90.0% renyi_2   AUC 0.6936, Accuracy 0.6667, TPR@5.0% FPR of 0.0900
Max_90.0% renyi_inf   AUC 0.6734, Accuracy 0.6533, TPR@5.0% FPR of 0.1133
Max_100% renyi_05   AUC 0.7264, Accuracy 0.6833, TPR@5.0% FPR of 0.2133
Max_100% renyi_1   AUC 0.7196, Accuracy 0.6950, TPR@5.0% FPR of 0.1167
Max_100% renyi_2   AUC 0.6936, Accuracy 0.6667, TPR@5.0% FPR of 0.0900
Max_100% renyi_inf   AUC 0.6733, Accuracy 0.6533, TPR@5.0% FPR of 0.1133
Min_0% renyi_05   AUC 0.6893, Accuracy 0.6433, TPR@5.0% FPR of 0.1133
Min_0% renyi_1   AUC 0.7148, Accuracy 0.6733, TPR@5.0% FPR of 0.1200
Min_0% renyi_2   AUC 0.7163, Accuracy 0.6767, TPR@5.0% FPR of 0.1367
Min_0% renyi_inf   AUC 0.7163, Accuracy 0.6767, TPR@5.0% FPR of 0.1333
Min_5.0% renyi_05   AUC 0.6893, Accuracy 0.6433, TPR@5.0% FPR of 0.1133
Min_5.0% renyi_1   AUC 0.7148, Accuracy 0.6733, TPR@5.0% FPR of 0.1200
Min_5.0% renyi_2   AUC 0.7163, Accuracy 0.6767, TPR@5.0% FPR of 0.1367
