aug_kl   AUC 0.5039, Accuracy 0.5267, TPR@5.0% FPR of 0.0633
Max_70.0% renyi_inf   AUC 0.6603, Accuracy 0.6267, TPR@5.0% FPR of 0.1233
Max_80.0% renyi_05   AUC 0.7127, Accuracy 0.6617, TPR@5.0% FPR of 0.1500
Max_80.0% renyi_1   AUC 0.7014, Accuracy 0.6533, TPR@5.0% FPR of 0.1367
Max_80.0% renyi_2   AUC 0.6796, Accuracy 0.6367, TPR@5.0% FPR of 0.1600
Max_80.0% renyi_inf   AUC 0.6626, Accuracy 0.6217, TPR@5.0% FPR of 0.1333
Max_90.0% renyi_05   AUC 0.7136, Accuracy 0.6650, TPR@5.0% FPR of 0.1600
Max_90.0% renyi_1   AUC 0.7004, Accuracy 0.6583, TPR@5.0% FPR of 0.1300
Max_90.0% renyi_2   AUC 0.6795, Accuracy 0.6383, TPR@5.0% FPR of 0.1633
Max_90.0% renyi_inf   AUC 0.6636, Accuracy 0.6267, TPR@5.0% FPR of 0.1333
Max_100% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@5.0% FPR of 0.1600
Max_100% renyi_1   AUC 0.6992, Accuracy 0.6583, TPR@5.0% FPR of 0.1300
Max_100% renyi_2   AUC 0.6793, Accuracy 0.6400, TPR@5.0% FPR of 0.1633
Max_100% renyi_inf   AUC 0.6630, Accuracy 0.6283, TPR@5.0% FPR of 0.1333
Min_0% renyi_05   AUC 0.6402, Accuracy 0.6050, TPR@5.0% FPR of 0.1700
Min_0% renyi_1   AUC 0.6694, Accuracy 0.6367, TPR@5.0% FPR of 0.0833
Min_0% renyi_2   AUC 0.6704, Accuracy 0.6417, TPR@5.0% FPR of 0.0833
Min_0% renyi_inf   AUC 0.6704, Accuracy 0.6417, TPR@5.0% FPR of 0.0800
Min_5.0% renyi_05   AUC 0.6402, Accuracy 0.6050, TPR@5.0% FPR of 0.1700
Min_5.0% renyi_1   AUC 0.6694, Accuracy 0.6367, TPR@5.0% FPR of 0.0833
Min_5.0% renyi_2   AUC 0.6704, Accuracy 0.6417, TPR@5.0% FPR of 0.0833
Min_5.0% renyi_inf   AUC 0.6704, Accuracy 0.6417, TPR@5.0% FPR of 0.0800
Min_10.0% renyi_05   AUC 0.6325, Accuracy 0.6050, TPR@5.0% FPR of 0.1767
Min_10.0% renyi_1   AUC 0.6248, Accuracy 0.6133, TPR@5.0% FPR of 0.1533
Min_10.0% renyi_2   AUC 0.6236, Accuracy 0.6117, TPR@5.0% FPR of 0.1467
Min_10.0% renyi_inf   AUC 0.6236, Accuracy 0.6117, TPR@5.0% FPR of 0.1467
Min_20.0% renyi_05   AUC 0.6545, Accuracy 0.6250, TPR@5.0% FPR of 0.2200
Min_20.0% renyi_1   AUC 0.6211, Accuracy 0.5967, TPR@5.0% FPR of 0.1967
Min_20.0% renyi_2   AUC 0.6206, Accuracy 0.5933, TPR@5.0% FPR of 0.2000
Min_20.0% renyi_inf   AUC 0.6210, Accuracy 0.5933, TPR@5.0% FPR of 0.2000
Min_30.0% renyi_05   AUC 0.6657, Accuracy 0.6317, TPR@5.0% FPR of 0.1600
Min_30.0% renyi_1   AUC 0.6311, Accuracy 0.5933, TPR@5.0% FPR of 0.1433
Min_30.0% renyi_2   AUC 0.6298, Accuracy 0.5967, TPR@5.0% FPR of 0.1600
Min_30.0% renyi_inf   AUC 0.6300, Accuracy 0.5967, TPR@5.0% FPR of 0.1600
Min_40.0% renyi_05   AUC 0.6779, Accuracy 0.6500, TPR@5.0% FPR of 0.1667
Min_40.0% renyi_1   AUC 0.6430, Accuracy 0.6133, TPR@5.0% FPR of 0.1133
Min_40.0% renyi_2   AUC 0.6348, Accuracy 0.6017, TPR@5.0% FPR of 0.0933
Min_40.0% renyi_inf   AUC 0.6348, Accuracy 0.6017, TPR@5.0% FPR of 0.0933
Min_50.0% renyi_05   AUC 0.6868, Accuracy 0.6700, TPR@5.0% FPR of 0.1500
Min_50.0% renyi_1   AUC 0.6535, Accuracy 0.6150, TPR@5.0% FPR of 0.1300
Min_50.0% renyi_2   AUC 0.6457, Accuracy 0.6117, TPR@5.0% FPR of 0.1500
Min_50.0% renyi_inf   AUC 0.6458, Accuracy 0.6150, TPR@5.0% FPR of 0.1467
Min_60.0% renyi_05   AUC 0.6938, Accuracy 0.6717, TPR@5.0% FPR of 0.1533
Min_60.0% renyi_1   AUC 0.6677, Accuracy 0.6283, TPR@5.0% FPR of 0.1333
Min_60.0% renyi_2   AUC 0.6518, Accuracy 0.6233, TPR@5.0% FPR of 0.1700
Min_60.0% renyi_inf   AUC 0.6464, Accuracy 0.6250, TPR@5.0% FPR of 0.1633
Min_70.0% renyi_05   AUC 0.7019, Accuracy 0.6700, TPR@5.0% FPR of 0.1700
Min_70.0% renyi_1   AUC 0.6766, Accuracy 0.6400, TPR@5.0% FPR of 0.1600
Min_70.0% renyi_2   AUC 0.6536, Accuracy 0.6283, TPR@5.0% FPR of 0.1667
Min_70.0% renyi_inf   AUC 0.6439, Accuracy 0.6250, TPR@5.0% FPR of 0.1633
Min_80.0% renyi_05   AUC 0.7067, Accuracy 0.6667, TPR@5.0% FPR of 0.1667
Min_80.0% renyi_1   AUC 0.6833, Accuracy 0.6433, TPR@5.0% FPR of 0.1633
Min_80.0% renyi_2   AUC 0.6548, Accuracy 0.6300, TPR@5.0% FPR of 0.1533
Min_80.0% renyi_inf   AUC 0.6407, Accuracy 0.6150, TPR@5.0% FPR of 0.1567
Min_90.0% renyi_05   AUC 0.7090, Accuracy 0.6667, TPR@5.0% FPR of 0.1700
Min_90.0% renyi_1   AUC 0.6890, Accuracy 0.6467, TPR@5.0% FPR of 0.1633
Min_90.0% renyi_2   AUC 0.6626, Accuracy 0.6250, TPR@5.0% FPR of 0.1400
Min_90.0% renyi_inf   AUC 0.6449, Accuracy 0.6167, TPR@5.0% FPR of 0.1433
Min_100% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@5.0% FPR of 0.1600
Min_100% renyi_1   AUC 0.6992, Accuracy 0.6583, TPR@5.0% FPR of 0.1300
Min_100% renyi_2   AUC 0.6793, Accuracy 0.6400, TPR@5.0% FPR of 0.1633
Min_100% renyi_inf   AUC 0.6630, Accuracy 0.6283, TPR@5.0% FPR of 0.1333
