aug_kl   AUC 0.5113, Accuracy 0.5350, TPR@0.1% FPR of 0.0000
Max_100% renyi_2   AUC 0.6793, Accuracy 0.6400, TPR@0.1% FPR of 0.0100
Max_100% renyi_inf   AUC 0.6630, Accuracy 0.6283, TPR@0.1% FPR of 0.0033
Min_0% renyi_05   AUC 0.6402, Accuracy 0.6050, TPR@0.1% FPR of 0.0167
Min_0% renyi_1   AUC 0.6694, Accuracy 0.6367, TPR@0.1% FPR of 0.0033
Min_0% renyi_2   AUC 0.6704, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Min_0% renyi_inf   AUC 0.6704, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_05   AUC 0.6402, Accuracy 0.6050, TPR@0.1% FPR of 0.0167
Min_5.0% renyi_1   AUC 0.6694, Accuracy 0.6367, TPR@0.1% FPR of 0.0033
Min_5.0% renyi_2   AUC 0.6704, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Min_5.0% renyi_inf   AUC 0.6704, Accuracy 0.6417, TPR@0.1% FPR of 0.0000
Min_10.0% renyi_05   AUC 0.6325, Accuracy 0.6050, TPR@0.1% FPR of 0.0067
Min_10.0% renyi_1   AUC 0.6248, Accuracy 0.6133, TPR@0.1% FPR of 0.0133
Min_10.0% renyi_2   AUC 0.6236, Accuracy 0.6117, TPR@0.1% FPR of 0.0100
Min_10.0% renyi_inf   AUC 0.6236, Accuracy 0.6117, TPR@0.1% FPR of 0.0100
Min_20.0% renyi_05   AUC 0.6545, Accuracy 0.6250, TPR@0.1% FPR of 0.0033
Min_20.0% renyi_1   AUC 0.6211, Accuracy 0.5967, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_2   AUC 0.6206, Accuracy 0.5933, TPR@0.1% FPR of 0.0000
Min_20.0% renyi_inf   AUC 0.6210, Accuracy 0.5933, TPR@0.1% FPR of 0.0000
Min_30.0% renyi_05   AUC 0.6657, Accuracy 0.6317, TPR@0.1% FPR of 0.0067
Min_30.0% renyi_1   AUC 0.6311, Accuracy 0.5933, TPR@0.1% FPR of 0.0067
Min_30.0% renyi_2   AUC 0.6298, Accuracy 0.5967, TPR@0.1% FPR of 0.0067
Min_30.0% renyi_inf   AUC 0.6300, Accuracy 0.5967, TPR@0.1% FPR of 0.0067
Min_40.0% renyi_05   AUC 0.6779, Accuracy 0.6500, TPR@0.1% FPR of 0.0233
Min_40.0% renyi_1   AUC 0.6430, Accuracy 0.6133, TPR@0.1% FPR of 0.0133
Min_40.0% renyi_2   AUC 0.6348, Accuracy 0.6017, TPR@0.1% FPR of 0.0133
Min_40.0% renyi_inf   AUC 0.6348, Accuracy 0.6017, TPR@0.1% FPR of 0.0133
Min_50.0% renyi_05   AUC 0.6868, Accuracy 0.6700, TPR@0.1% FPR of 0.0367
Min_50.0% renyi_1   AUC 0.6535, Accuracy 0.6150, TPR@0.1% FPR of 0.0267
Min_50.0% renyi_2   AUC 0.6457, Accuracy 0.6117, TPR@0.1% FPR of 0.0133
Min_50.0% renyi_inf   AUC 0.6458, Accuracy 0.6150, TPR@0.1% FPR of 0.0133
Min_60.0% renyi_05   AUC 0.6938, Accuracy 0.6717, TPR@0.1% FPR of 0.0433
Min_60.0% renyi_1   AUC 0.6677, Accuracy 0.6283, TPR@0.1% FPR of 0.0200
Min_60.0% renyi_2   AUC 0.6518, Accuracy 0.6233, TPR@0.1% FPR of 0.0233
Min_60.0% renyi_inf   AUC 0.6464, Accuracy 0.6250, TPR@0.1% FPR of 0.0267
Min_70.0% renyi_05   AUC 0.7019, Accuracy 0.6700, TPR@0.1% FPR of 0.0533
Min_70.0% renyi_1   AUC 0.6766, Accuracy 0.6400, TPR@0.1% FPR of 0.0400
Min_70.0% renyi_2   AUC 0.6536, Accuracy 0.6283, TPR@0.1% FPR of 0.0233
Min_70.0% renyi_inf   AUC 0.6439, Accuracy 0.6250, TPR@0.1% FPR of 0.0200
Min_80.0% renyi_05   AUC 0.7067, Accuracy 0.6667, TPR@0.1% FPR of 0.0533
Min_80.0% renyi_1   AUC 0.6833, Accuracy 0.6433, TPR@0.1% FPR of 0.0367
Min_80.0% renyi_2   AUC 0.6548, Accuracy 0.6300, TPR@0.1% FPR of 0.0100
Min_80.0% renyi_inf   AUC 0.6407, Accuracy 0.6150, TPR@0.1% FPR of 0.0067
Min_90.0% renyi_05   AUC 0.7090, Accuracy 0.6667, TPR@0.1% FPR of 0.0433
Min_90.0% renyi_1   AUC 0.6890, Accuracy 0.6467, TPR@0.1% FPR of 0.0300
Min_90.0% renyi_2   AUC 0.6626, Accuracy 0.6250, TPR@0.1% FPR of 0.0067
Min_90.0% renyi_inf   AUC 0.6449, Accuracy 0.6167, TPR@0.1% FPR of 0.0033
Min_100% renyi_05   AUC 0.7114, Accuracy 0.6667, TPR@0.1% FPR of 0.0300
Min_100% renyi_1   AUC 0.6992, Accuracy 0.6583, TPR@0.1% FPR of 0.0200
Min_100% renyi_2   AUC 0.6793, Accuracy 0.6400, TPR@0.1% FPR of 0.0100
Min_100% renyi_inf   AUC 0.6630, Accuracy 0.6283, TPR@0.1% FPR of 0.0033
