For Example 0, The full renyi 0.5 token for inst_desp method is: [5.2981, 2.8760, 5.1496, 3.6282, 5.9070, 4.7602, 1.6917, 0.7124, 4.4676, 4.5270, 4.3892, 6.2185, 5.3566, 3.5534, 2.1067, 1.4656, 2.9653, 2.2624, 4.7147, 0.7145, 3.6525, 3.0254, 0.6171, 0.6840, 0.6266, 3.8056, 3.3293, 2.4990, 4.3416, 2.1130, 3.3867, 3.7081, 2.9239, 2.3910, 5.1345, 0.6736, 4.2525, 3.6421, 5.3789, 3.5178, 4.5454, 3.2601, 3.9769, 0.5799, 0.5592, 4.5625]
For Example 1, The full renyi 0.5 token for inst_desp method is: [5.7246, 2.9085, 5.1485, 3.8944, 5.9261, 4.5937, 1.6205, 0.6938, 4.4063, 4.4430, 3.4726, 6.0596, 6.3047, 3.3662, 2.0590, 1.3722, 2.7572, 0.9134, 3.3002, 2.6166, 3.8111, 1.9090, 1.0251, 2.3430, 0.6207, 0.7501, 3.4253, 4.9402, 0.6037, 4.3932, 4.4400, 0.6391, 1.9581, 4.3388, 0.9465, 0.5680, 4.2933, 2.7717, 3.6671, 3.6253, 5.5441, 1.8493, 3.8559, 0.5817, 1.9437, 3.5996]
For Example 2, The full renyi 0.5 token for inst_desp method is: [5.2162, 2.8385, 4.8759, 3.6047, 6.1557, 4.6115, 1.7052, 0.7120, 4.4474, 4.4089, 5.3321, 6.3985, 6.6557, 3.7666, 2.2042, 1.8186, 2.8388, 2.4466, 5.0404, 3.3036, 1.1799, 4.3464, 3.1845, 3.3329, 3.9932, 1.5895, 2.9427, 3.6301, 3.9724, 4.5992, 4.0571, 4.3034, 2.7760, 3.5540, 2.2745, 3.4925, 3.4382, 5.3538, 4.5043, 4.4076, 4.9419, 3.8933, 2.6620, 4.2352, 3.5564, 3.8325]
For Example 6, The full renyi 0.5 token for inst_desp method is: [5.7849, 2.7682, 5.0301, 3.7865, 6.1949, 4.6374, 1.6563, 0.7336, 4.4971, 4.7121, 5.6271, 6.3806, 7.6504, 3.6501, 2.5729, 1.9346, 2.8946, 1.8294, 5.4953, 3.1128, 0.6547, 0.6244, 4.4342, 3.4683, 3.0082, 4.8544, 1.2532, 3.7551, 0.6390, 2.7921, 5.6262, 5.5258, 3.7321, 3.3519, 4.1413, 0.7044, 0.6086, 4.1612, 3.4265, 1.7213, 5.7652, 4.6257, 6.3203, 2.9076, 5.5463, 0.6913]
For Example 7, The full renyi 0.5 token for inst_desp method is: [5.3136, 2.9975, 4.9490, 3.7385, 5.9507, 4.7790, 1.6673, 0.7139, 4.4616, 4.4662, 4.7042, 6.2147, 5.1186, 3.5644, 2.0840, 1.5030, 2.9021, 2.3003, 3.3110, 0.6132, 0.7001, 0.6180, 3.6508, 3.4416, 3.2746, 3.4995, 2.4586, 3.5510, 3.7217, 3.8575, 5.2120, 3.3997, 4.5584, 0.6486, 0.5633, 4.7050, 0.7444, 3.6742, 1.2156, 1.2738, 3.8047, 2.4254, 1.8698, 0.6996, 3.3680, 1.5287]
For Example 8, The full renyi 0.5 token for inst_desp method is: [5.2895, 2.9035, 5.0585, 3.6176, 5.7095, 4.5656, 1.5664, 0.6758, 4.4146, 4.5966, 4.4334, 6.2385, 6.4020, 3.5343, 2.2724, 1.7860, 2.7764, 1.7756, 4.0648, 2.8990, 1.8132, 1.8211, 0.5758, 2.7296, 4.2790, 2.3516, 1.6084, 3.3131, 3.2997, 5.0167, 4.4025, 3.0449, 4.1187, 3.5438, 1.7348, 1.9362, 2.1825, 3.5369, 3.7048, 3.4583, 3.5646, 4.5283, 4.6190, 2.4374, 0.9013, 1.1505]
For Example 9, The full renyi 0.5 token for inst_desp method is: [5.8069, 2.8111, 5.1428, 3.8437, 5.7678, 4.9848, 1.9005, 0.7475, 4.6162, 4.4444, 5.2978, 6.2919, 5.9357, 3.6530, 2.1485, 2.0241, 3.2310, 2.7470, 5.0488, 0.8492, 3.8930, 0.9123, 0.6088, 1.0746, 4.2821, 3.7166, 3.0615, 3.5053, 0.6904, 1.7604, 2.9970, 3.5126, 1.0362, 3.6458, 3.2986, 3.8640, 2.0666, 2.7119, 4.6139, 3.4886, 5.0192, 5.5412, 5.0435, 3.2035, 1.4428, 2.9905]
For Example 13, The full renyi 0.5 token for inst_desp method is: [5.2274, 2.7336, 4.7792, 3.6271, 6.3793, 4.6127, 1.5317, 0.6986, 4.3751, 4.4397, 4.7303, 6.2435, 6.3187, 3.5125, 2.3004, 1.8945, 2.7544, 1.8189, 5.6505, 1.9634, 3.2525, 0.5883, 3.4368, 2.0549, 5.3539, 5.3174, 3.0424, 5.6203, 4.4243, 4.9753, 3.3217, 4.1305, 3.7934, 1.4614, 1.7875, 3.5780, 5.9523, 3.4846, 4.8204, 5.7819, 5.7284, 3.3369, 3.5410, 4.4684, 1.2214, 3.1614]
For Example 16, The full renyi 0.5 token for inst_desp method is: [5.0619, 3.1092, 5.1542, 3.5881, 5.9875, 4.8239, 1.6886, 0.7139, 4.4935, 4.5773, 4.3523, 6.1834, 5.8221, 3.4546, 1.8860, 1.5794, 3.0493, 1.7121, 4.4179, 3.5656, 0.6431, 1.0672, 4.1013, 0.6174, 0.7958, 3.8869, 4.4407, 1.4912, 0.8518, 2.2981, 4.2410, 0.6548, 2.9343, 1.8273, 1.9928, 4.1162, 2.1956, 2.9921, 2.7955, 3.2335, 1.1580, 3.9321, 0.6168, 3.3531, 1.4741, 2.4133]
For Example 17, The full renyi 0.5 token for inst_desp method is: [5.6489, 3.1329, 4.7702, 3.8794, 6.1924, 4.8643, 1.7080, 0.7254, 4.5652, 4.5217, 5.0873, 6.2478, 7.2422, 3.8670, 2.2285, 1.7586, 2.8938, 2.1069, 4.9455, 5.0480, 5.1548, 5.2957, 6.0732, 0.9571, 3.7572, 4.7872, 0.7055, 3.4618, 3.2304, 3.1596, 3.4864, 3.5518, 4.0706, 5.6493, 0.6206, 3.4325, 3.6543, 3.5158, 3.7512, 4.8578, 4.0709, 1.6267, 4.4189, 4.3063, 4.6483, 2.7440]
