aug_kl   AUC 0.5238, Accuracy 0.5333, TPR@5% FPR of 0.0667
Min_50.0% renyi_inf   AUC 0.6537, Accuracy 0.6217, TPR@5% FPR of 0.1600
Min_60.0% renyi_05   AUC 0.7071, Accuracy 0.6767, TPR@5% FPR of 0.1633
Min_60.0% renyi_1   AUC 0.6795, Accuracy 0.6467, TPR@5% FPR of 0.1500
Min_60.0% renyi_2   AUC 0.6634, Accuracy 0.6333, TPR@5% FPR of 0.1800
Min_60.0% renyi_inf   AUC 0.6588, Accuracy 0.6300, TPR@5% FPR of 0.1833
Min_70.0% renyi_05   AUC 0.7139, Accuracy 0.6767, TPR@5% FPR of 0.1767
Min_70.0% renyi_1   AUC 0.6931, Accuracy 0.6500, TPR@5% FPR of 0.1533
Min_70.0% renyi_2   AUC 0.6655, Accuracy 0.6450, TPR@5% FPR of 0.1667
Min_70.0% renyi_inf   AUC 0.6546, Accuracy 0.6233, TPR@5% FPR of 0.1600
Min_80.0% renyi_05   AUC 0.7164, Accuracy 0.6700, TPR@5% FPR of 0.1667
Min_80.0% renyi_1   AUC 0.6973, Accuracy 0.6550, TPR@5% FPR of 0.1400
Min_80.0% renyi_2   AUC 0.6706, Accuracy 0.6417, TPR@5% FPR of 0.1700
Min_80.0% renyi_inf   AUC 0.6560, Accuracy 0.6217, TPR@5% FPR of 0.1633
Min_90.0% renyi_05   AUC 0.7192, Accuracy 0.6700, TPR@5% FPR of 0.1633
Min_90.0% renyi_1   AUC 0.7035, Accuracy 0.6583, TPR@5% FPR of 0.1567
Min_90.0% renyi_2   AUC 0.6794, Accuracy 0.6367, TPR@5% FPR of 0.1767
Min_90.0% renyi_inf   AUC 0.6635, Accuracy 0.6300, TPR@5% FPR of 0.1500
Min_100% renyi_05   AUC 0.7265, Accuracy 0.6750, TPR@5% FPR of 0.1733
Min_100% renyi_1   AUC 0.7193, Accuracy 0.6767, TPR@5% FPR of 0.1500
Min_100% renyi_2   AUC 0.6997, Accuracy 0.6583, TPR@5% FPR of 0.1900
Min_100% renyi_inf   AUC 0.6841, Accuracy 0.6517, TPR@5% FPR of 0.1567
